,Entity A,Entity B,PolBMA_Seco2004,PolBMA_Resnik1995,PolGIC_Resnik1995,PolGIC_Seco2004
25,O75795,O75379,0.31631557436388297,0.1385680536760423,0.000775844054048887,0.0017104718904354809
26,O94812,P52298,0.26392479731604873,0.14643831318840356,0.2701154201460886,0.27081105190376914
27,O95248,P21675,0.25849271430363485,0.15341087628243644,0.0030479602716865692,0.0040202783953541404
28,O95251,P35638,0.44171764488802656,0.2582395315554916,0.1392026383269217,0.16439257631700646
29,O95251,Q9UNL4,0.5895151958551939,0.37850691866229247,0.39677385727952263,0.4212702016644849
30,O95259,Q13156,0.21005385983318337,0.116766662581433,0.0005926738676746173,0.0008484608472741538
31,O95292,Q9Y2I7,0.3238091906677689,0.18432348606476204,0.3176049911960043,0.317975230287251
32,O95718,P04049,0.3284836915426165,0.18942251220418305,0.008481727004283974,0.01142483381940198
33,O95718,Q9H082,0.21020120825975458,0.11792663364980593,0.002463284481499179,0.0034882253690086823
34,O95819,P05556,0.38762302969989837,0.2310118404636855,0.008999813345098612,0.011577124123872814
35,P00519,P09884,0.396604987515736,0.2434760077627839,0.008144399939595025,0.011706347109775027
36,P00519,Q14194,0.3627786966415502,0.2287332386146564,0.006255947225319641,0.007869050344005797
37,P01127,P01127,0.8525786499151587,0.6246731090174679,0.38572518646068277,0.39338222349675833
38,P01137,P37173,0.48294584940380353,0.35395192649284,0.3054431621031329,0.30442827221198876
39,P01137,Q03167,0.4721540343436318,0.3398977112557059,0.30440909257452986,0.30334621713191046
40,P02647,P02647,0.8680089371094466,0.6598169756828357,0.9138178841445591,0.927384670077163
41,P02647,P49662,0.34675254381245546,0.193369069084127,0.05042390119126002,0.06240844599023389
42,P02647,Q9UHY1,0.2965989831297217,0.1550820051501421,0.004306046555555464,0.005682505023693442
43,P02741,P00750,0.3259753718196614,0.1754343419173771,0.003430168414564784,0.004583180584758916
44,P04049,P61225,0.3993659231952811,0.21231070415954018,0.008163687535268523,0.011652387156203686
45,P04085,P21675,0.3317044184547262,0.20824416483099925,0.29917694922360116,0.2983318513190067
46,P04156,P04156,0.8626942468605038,0.6126734578393804,0.9898247230780189,0.9919667546786479
47,P04629,P00519,0.47966612315635526,0.32247686373720164,0.3153945457619695,0.31605733069335945
48,P05067,P05067,0.8369276164460111,0.6087255891133513,0.9941335102593412,0.9950056490222454
49,P05067,P49768,0.5520347722516441,0.3767736230693761,0.04053258952858798,0.04822200521326951
50,P05161,P00750,0.3573587179207726,0.20709337460541433,0.314538546543674,0.3137694279598395
51,P05231,P05231,0.8460921528984493,0.6454360530593237,0.38997189750278394,0.3964438524754417
52,P05305,P00750,0.381916408044337,0.2455747490045475,0.30151360511161635,0.2992089896575268
53,P05556,P27824,0.4011281420811746,0.21998219512441353,0.31325035249317335,0.3130212771593459
54,P06396,P05067,0.5003170664543826,0.3084388716250736,0.017034970534218284,0.022681911125963523
55,P06396,P18206,0.46041661575689696,0.2604873704912182,0.32172465957845464,0.323135431569001
56,P06746,Q13873,0.36940307747310047,0.23895489349461668,0.007022235485821143,0.009218824864191918
57,P07384,Q9Y580,0.28445425365702903,0.13325917838828102,0.014297027170421422,0.01941535313270135
58,P08476,O95292,0.2895125919729934,0.16463716427179304,0.31302776047696385,0.3124874097434399
59,P10600,P37173,0.4826636422459033,0.3387679699974419,0.02187778716764907,0.026455601967761585
60,P10600,Q02880,0.3088306013298294,0.17215512852517678,0.02534467102468619,0.034550831469630526
61,P10909,P37173,0.34887532663331,0.2335011952761255,0.010895576316015516,0.013769097219198107
62,P11137,P17480,0.24655467780454396,0.11806382063755683,0.3167763748341549,0.3154329331140076
63,P11137,Q96L34,0.46757960896433526,0.29018112887699066,0.30185375936426806,0.30286085145125613
64,P12644,P12644,0.8686848093688632,0.719577740591115,0.4212520730877079,0.4270853674631032
65,P12644,P36894,0.5106882457814594,0.39314185741158003,0.3079855346604718,0.30913055763176706
66,P12814,Q13426,0.25107249866280656,0.1065486258487878,0.000713482934701035,0.001602875699901064
67,P13796,Q99816,0.36073656179579305,0.19143872193528327,0.006099675944989136,0.009275724813558539
68,P14210,P14210,0.8357126086981351,0.5975537703327906,0.5806185887299667,0.6067783392929386
69,P14550,Q15843,0.26066683416653236,0.14465535294521598,0.3168873899770498,0.3167756135836452
70,P14550,Q9NPD3,0.2768079137217153,0.17740918727084834,0.3161095041532883,0.3154568498778832
71,P14735,P05067,0.41647620356805226,0.23788604675959307,0.056651115400230996,0.07257018683922292
72,P14923,P25054,0.46624077392886876,0.2813972803426173,0.31957682914564084,0.3197872138192699
73,P15056,P04049,0.5382240824497769,0.3051863992402142,0.020657633992980182,0.028390923856615978
74,P15056,P15692,0.41929332398761443,0.2539109705283964,0.014758262403577136,0.019301808328261037
75,P15311,O14745,0.5091536946598354,0.32139223439903475,0.284426947071746,0.28833949371881795
76,P15311,Q12959,0.531036782941747,0.3390584293823764,0.2926265897030881,0.29774725539054986
77,P15498,P04049,0.43362645773526187,0.26613052496023837,0.3219226359591902,0.3209648026848262
78,P15498,Q96RU7,0.3829571634618332,0.223017978644391,0.2330145764072671,0.2364781054415057
79,P15692,P09486,0.45631125394917965,0.3025046282661105,0.010588476387969873,0.013913415894417237
80,P15692,P15692,0.8740356040222178,0.6636250989754439,0.4023287993968064,0.4123891804034155
81,P16520,Q13547,0.30998007584328735,0.17880738807938987,0.31451499293685037,0.3135799096261416
82,P17480,P21675,0.4772144898891039,0.28267557647726305,0.3178068056679197,0.3189522471741034
83,P17813,O60563,0.24551916217351022,0.14111803264561779,0.31233945821806625,0.31198319572322075
84,P17813,P36897,0.4829445362327184,0.35375161745740596,0.31926005388972234,0.31911377775902294
85,P17813,P37173,0.5140325775252739,0.3716530351277534,0.3156561060037668,0.3161074029791165
86,P18054,Q9UJA3,0.2624535317954744,0.1560782291462282,0.001842848916530805,0.002724967154515089
87,P18206,P04049,0.31362180037067805,0.16708832081878272,0.3185864553624455,0.31592122771449294
88,P18206,P29972,0.30869291086711537,0.16651431083707968,0.0031084754653429615,0.0052802732224084565
89,P20393,P61812,0.3534108947763314,0.24448489685236197,0.3051963679175127,0.3027821974810383
90,P20585,P16520,0.2638909649756569,0.14149362742833682,0.32073200592417633,0.32036009386635445
91,P20585,Q9Y2L1,0.38084516420011194,0.23153476417365687,0.003629758881798942,0.00507603581711777
92,P20807,Q12959,0.418437859384698,0.2598844283479068,0.011899205962472511,0.015294406205625895
93,P20809,Q8NI60,0.14210998543901826,0.0670304622571457,0.27136427039719246,0.27188931798309557
94,P20823,Q96T23,0.2945739370596739,0.16222949218963467,0.055455161685112025,0.07610925733124424
95,P21675,Q04206,0.48093998995283715,0.3152878502201707,0.024870659337283926,0.03177302909898983
96,P21860,Q9Y3P9,0.23925302656057795,0.13203158664338072,0.002562724116233118,0.003725203919205081
97,P23142,P05067,0.4105183400958233,0.23847053936379406,0.08783152926201254,0.09875618133638951
98,P23142,Q99816,0.346555264896613,0.2065218507641287,0.008872684527810655,0.01194811084933385
99,P23763,Q9P0L0,0.31022511649385526,0.16955157011186273,0.3198903742479699,0.3188382819438324
100,P24534,Q04206,0.37602633000223573,0.20799849344626906,0.03094620943640721,0.040648167995110236
101,P24928,O95718,0.42080261928252677,0.24391132359535378,0.009187621311125492,0.012485783534204872
102,P24928,P50750,0.4881679163655098,0.31121530635051337,0.27409511308037304,0.27914014043166285
103,P25205,P11388,0.45836310748399745,0.26449633213043094,0.17930042478059696,0.21785254279750177
104,P25205,P33993,0.7027125479408425,0.46586681133148655,0.016321683123087277,0.02150555181609422
105,P25205,Q99741,0.481192753009939,0.2764123738530313,0.16253632690652814,0.20381266644742138
106,P26038,P05556,0.47806824310489504,0.2945429131090751,0.31054040385349624,0.31069018348023064
107,P26038,P15311,0.5881462499827468,0.37471094225316437,0.2980671187755633,0.30226355428444673
108,P26715,P11388,0.18384607355921537,0.0935592815177451,0.002710894980971343,0.0043999272340341355
109,P29466,Q13873,0.33293561495695556,0.2146099046278993,0.006569381979303145,0.008712417056317092
110,P29972,P29972,0.882798616104903,0.6592006545949018,0.9760546972214227,0.9728289878495718
111,P30793,Q13547,0.34131091887621756,0.19925950111966867,0.005168555025028476,0.007879501805815507
112,P33993,O00291,0.2603608189271378,0.12808084487110608,0.3219776094173928,0.3204475520472712
113,P33993,Q99741,0.49002047312633046,0.2870398253143063,0.009154786238096324,0.013497056259324432
114,P35638,Q15024,0.3767706850666112,0.237185537259124,0.0066560922733941725,0.009247067427032513
115,P36894,P36894,0.8778555780211988,0.6766394883963484,0.376012142042155,0.38328901441840957
116,P36897,O96008,0.19980094810576032,0.11171787450810974,0.0009180693001525877,0.001739605351153314
117,P36897,P00519,0.4832720259685972,0.3364894925599493,0.31624154889344946,0.31682685121045484
118,P36897,P01137,0.5233048625532531,0.37376250336384886,0.31278979546086333,0.31376238618974533
119,P36897,P10600,0.5092841627842037,0.353921951883235,0.03129160517144695,0.03814033610262352
120,P36897,P10909,0.36334185048546674,0.24117605216781196,0.013676151532939315,0.0176324304333367
121,P37023,P10600,0.4353565116387441,0.2857333283260626,0.017142342361338565,0.02194515280975457
